"Part";"Value";"Device";"Package";"Description";"POPULARITY";"SPICEPREFIX";
"C64";"470n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C65";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C66";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C67";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C68";"1n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C69";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C70";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C71";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C72";"47u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C73";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C74";"470n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C75";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C76";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C77";"100n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C78";"1n5";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C79";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C80";"4n7";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C81";"1n5";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C82";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C83";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C84";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C85";"100p";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C86";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C87";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C88";"10u";"CPOL-USE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, American symbol";"";"C";
"C89";"10n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C90";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C91";"22n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"C92";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"C";
"D1";"1N5817";"DO41.3";"DO41-3";"1N400x, 1N5817";"";"";
"D2";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";
"D3";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";
"D4";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";
"D5";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";
"D6";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";
"D7";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";
"D8";"LED.3";"LED.3";"3MM_2";"LEDs, all sizes";"";"";
"DEPTH";"B100k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"DLA1_1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"DLA1_2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"DLA2_1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"DLA2_2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"FB1";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"FB2";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"GND";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"GND_IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"GND_OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"IC1";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"57";"";
"IC2";"TL072P";"TL072P";"DIL08";"OP AMP";"13";"";
"IC3";"NE5532";"TL072P";"DIL08";"OP AMP";"13";"";
"IN";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"LED";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"LED1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"LED2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"MIX1";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"MIX2";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"OUT";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"R1";"1M";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R2";"33k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R3";"2k2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R4";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R5";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R6";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R7";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R8";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R9";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R10";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R11";"2k2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R12";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R13";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R14";"27k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R15";"2k2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R16";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R17";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R18";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R19";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R20";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R21";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R22";"1k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R23";"2k2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R24";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R25";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R26";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R27";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R28";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R29";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R30";"8k2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R31";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R32";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R33";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R34";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R35";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R36";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R37";"68k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R38";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R39";"68k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R40";"3k3";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R41";"68k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R42";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R43";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R44";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R45";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R46";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R47";"8k2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R48";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R49";"18k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R50";"68k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R51";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R52";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R53";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R54";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R55";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R56";"1k2";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R57";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R58";"68k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R59";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R60";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R61";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R62";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R63";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R64";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R65";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R66";"6k8";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R67";"10k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R68";"6k8";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R69";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R70";"27k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R71";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R72";"220k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R73";"220k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R74";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R75";"6k8";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R76";"22k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R77";"12k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R78";"100k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R79";"47k";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R80";"4k7";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R81";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"R82";"RLED";"R-US_0204/5";"0204/5";"RESISTOR, American symbol";"";"R";
"REV";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"REV_1";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"REV_2";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"SERIES";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"SPEED";"B100k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"SW";"LSP10";"LSP10";"LSP10";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"52";"";
"TIME1";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"TIME2";"B50k";"16MM.1";"16MM_B.MOUNT";"16mm Poteniometers";"";"";
"U1";"PT2399";"PT2399";"DIL16";"Echo Processor IC";"";"";
"U2";"PT2399";"PT2399";"DIL16";"Echo Processor IC";"";"";
"U3";"PT2399";"PT2399";"DIL16";"Echo Processor IC";"";"";
"U4";"PT2399";"PT2399";"DIL16";"Echo Processor IC";"";"";
"U5";"PT2399";"PT2399";"DIL16";"Echo Processor IC";"";"";
"U6";"PT2399";"PT2399";"DIL16";"Echo Processor IC";"";"";
